Tipo de Identificación,Fecha de Nacimiento,Tipo de sexo,Estrato Social,Cabeza de Familia,Posee alguna discapacidad,Población a la que pertenece,Grado de Escolaridad,Tipo de Formación artística,Sub area,Es su principal actividad,Año de inicio de actividad,Area en la que se desempeña,id_artista,Año registro,Municipio,Longitud,Latitud,Provincia,Hace parte de alguna organización,Empresa de pensión,Eps,regimen
Cedula de Ciudadanía,1990,Masculino,2,No,No,Mestizos,Secundaria,"Autodidacta, Talleres, Cursos, Clases particulares",Actor,SI,2011,Teatro,88a62528-d23c-4713-bdb6-c5c79683f1de,2021,Tibasosa,"-72,999449","5,74723",Sugamuxi,No,Colpensiones,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1989,Masculino,2,Si,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,2008,Artes plásticas,8b4f1410-4a1b-4d6a-9fbc-c252d3888c09,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1986,Masculino,2,Si,No,Mestizos,Universitaria,Universidad,Gestor Cultural,SI,2009,Música,7972c420-31bd-4e80-91e4-9d17458dd576,2021,Aquitania,"-72,88399","5,518602",Sugamuxi,No,Colpensiones,Medimás,Contributivo
Cedula de Ciudadanía,1996,Masculino,2,No,No,Mestizos,Tecnológica,"Autodidacta, Talleres, Cursos, Clases particulares",Artista Formador,SI,2018,Danza,11a9d324-8238-4832-9270-f7bf492efd94,2021,Nobsa,"-72,937042","5,768046",Sugamuxi,Sí,Colpensiones,Nueva EPS,Contributivo
Cedula de Ciudadanía,1965,Femenino,3,Si,No,Mestizos,Magister,Universidad,gestor cultural / Investigador / Escritor,SI,1980,Danza,237108c1-aaba-4aee-9d64-8b30c37ca4da,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Sanitas,Contributivo
Cedula de Ciudadanía,1970,Masculino,2,No,No,Mestizos,Universitaria,Cursos,Gestor Cultural,SI,1998,Gestor Cultural,1930405e-bbfa-4e50-876b-cc1be96541a7,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Compensar,Contributivo
Cedula de Ciudadanía,1967,Masculino,2,Si,No,Mestizos,Universitaria,Autodidacta,Artista Creador,NO,1978,Música,12dadb94-3a86-4105-bbc5-352ec68910db,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Otro,Régimen Especial - Fuerza Pública,Especial
Cedula de Ciudadanía,1968,Masculino,2,No,No,Mestizos,Tecnológica,Autodidacta,Artista Creador,SI,1995,Cinematografía,7f2e44b4-2161-4f4e-98a6-33c8b9412e35,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Coosalud,Contributivo
Cedula de Ciudadanía,1990,Masculino,3,No,No,Mestizos,Universitaria,Universidad,Curaduría y producción de arte contemporaneo,SI,2013,Artes plásticas,61fe12f5-c060-4ed9-a93d-e60f2f41a572,2021,Duitama,"-73,03063","5,822964",Tundama,No,Colpensiones,Nueva EPS,Contributivo
Cedula de Ciudadanía,1960,Femenino,2,Si,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,1975,Artes plásticas,f4959a42-8955-4d4b-add5-05f950c255a3,2021,Duitama,"-73,03063","5,822964",Tundama,No,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1982,Masculino,2,Si,No,Mestizos,Secundaria,Autodidacta,Artista Creador,SI,1998,Artes plásticas,d46373ea-6c14-4eba-93c4-1f1ab6920dfa,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1966,Masculino,1,Si,No,Mestizos,Secundaria,Autodidacta,Interprete,SI,1990,Música,39c7a723-b94d-410a-baf0-52fd699b9795,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1984,Femenino,2,Si,No,Mestizos,Secundaria,Autodidacta,Gestor Cultural,SI,2010,Música,20f64dce-800f-4872-9624-9233ee02da7a,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,1978,Masculino,1,Si,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,1985,Música,42aded2a-e11d-4adc-bd08-9304a301f5e3,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1994,Masculino,1,Si,No,Mestizos,Secundaria,Autodidacta,Artista Creador,SI,2005,Música,bf008fcb-0596-4391-9568-56a31ed5276f,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1966,Masculino,1,Si,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,1985,Música,5ddc89d3-f91e-4905-b333-1f9871c15a89,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1986,Femenino,1,Si,No,Mestizos,Secundaria,Autodidacta,Bailarín,SI,2005,Danza,3f090afd-caa0-4f72-af85-4d1938a8f611,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1990,Masculino,1,Si,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,2005,Música,86c7f960-1b15-4071-9e61-d600119c7da4,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,2001,Masculino,1,Si,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,2017,Música,7cb02f61-017b-4aae-9f93-1bbefa149662,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1979,Masculino,2,Si,No,Mestizos,Técnica,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Creador,SI,1994,Artes plásticas,fd2d66e0-cf68-40c8-9989-6093e718ed36,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,No,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1996,Masculino,2,No,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,2020,Música,bc852049-c8a3-4684-a1e2-4876feb29fae,2021,Nobsa,"-72,937042","5,768046",Sugamuxi,No,Porvenir,Medimás,Contributivo
Cedula de Ciudadanía,2002,Masculino,2,No,No,Mestizos,Secundaria,Autodidacta,Interprete,SI,2019,Música,4de17dac-2b31-478c-bb1b-317a07a8cffc,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,2002,Masculino,2,No,No,Mestizos,Secundaria,"Autodidacta, Talleres, Clases particulares",Artista Creador,SI,2010,Música,c4a7a7d8-ad3c-42ea-ac25-0a21d0ddb1c4,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1962,Masculino,2,No,No,Mestizos,Técnica,"Autodidacta, Talleres",Artista Creador,SI,1997,Gestor Cultural,7baf33f4-f271-45ab-97b9-7911ae5a62c5,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1986,Masculino,3,Si,No,Mestizos,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Creador,NO,2010,Literatura,da1fd68d-be4f-4041-a98e-bb96c84f20a1,2021,Tunja,"-73,355539","5,53988",Centro,No,Colpensiones,Sanitas,Contributivo
Cedula de Ciudadanía,1962,Femenino,2,No,No,Mestizos,Primaria,Autodidacta,Gestor Cultural,SI,1980,Gestor Cultural,b2ca224f-8506-4f3f-8499-a2ebb1b50538,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1994,Masculino,2,No,No,Mestizos,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad","Artista creador, productor, artista formador",SI,2014,Cinematografía,5a7b635d-01de-4c8c-a889-6008cebecbf6,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Porvenir,Compensar,Contributivo
Cedula de Ciudadanía,1975,Masculino,3,No,No,Mestizos,Especialista,"Cursos, Universidad",Gestor Cultural,SI,2007,Gestor Cultural,631769ca-8e67-4c5b-bc15-3e3d131ff067,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1982,Femenino,3,Si,No,Mestizos,Universitaria,Universidad,Gestor Cultural,SI,1998,Gestor Cultural,cb09119f-a6ec-4721-936b-d79a1add4f6d,2021,Villa De Leyva,"-73,524948","5,632455",Ricaurte,No,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1960,Masculino,2,Si,No,Mestizos,Primaria,Autodidacta,Gestor Cultural,SI,1980,Gestor Cultural,c7b4e39a-a7e5-4f48-99ed-74e790a01bca,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1990,Masculino,2,No,Sí,Mestizos,Primaria,Autodidacta,Gestor Cultural,SI,2008,Gestor Cultural,98c492f4-89dd-48d8-aaf2-3a530827740f,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1955,Femenino,1,No,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,1965,Gestor Cultural,75a8bb66-0be8-4d0f-bd81-c47eed0723cc,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1980,Femenino,2,No,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,1987,Gestor Cultural,93bd9db5-f6d3-4257-bb0f-39ec78ffd001,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Famisanar,Contributivo
Cedula de Ciudadanía,1952,Masculino,2,Si,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,1981,Gestor Cultural,9527ceaf-a79a-4915-b0d3-c16909256742,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1974,Masculino,1,Si,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,1994,Gestor Cultural,d42e8f6a-9008-4e65-934a-109a4875ed29,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1993,Femenino,1,Si,No,Mestizos,Secundaria,Autodidacta,Gestor Cultural,SI,2011,Gestor Cultural,a59b9f90-99ac-435c-988d-7dc2a8eca70d,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1972,Femenino,2,No,No,Mestizos,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Creador,SI,1978,Literatura,77a9fbff-fced-48e8-b36f-890e3dab8564,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1958,Masculino,5,No,No,Mestizos,Magister,Universidad,Gestor Cultural,SI,1983,Cinematografía,e7a1d2b6-6a8d-4bd3-82f8-a1cdff27bc8d,2021,Tunja,"-73,355539","5,53988",Centro,No,Colfondos,Compensar,Contributivo
Cedula de Ciudadanía,1991,Femenino,1,No,No,Mestizos,Universitaria,Talleres,Gestor Cultural,SI,2005,Gestor Cultural,1c9dfa48-5e53-471f-a32c-d4e9d12cca7b,2021,Sáchica,"-73,542539","5,584305",Ricaurte,Sí,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1974,Masculino,3,Si,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,1990,Artes plásticas,6e59806c-b34a-45ea-bc8c-e34970fc1d31,2021,Tunja,"-73,355539","5,53988",Centro,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1973,Femenino,1,Si,No,Ninguno,Tecnológica,"Autodidacta, Talleres",Gestor Cultural,SI,1983,Gestor Cultural,a6f687eb-5134-4c0d-8474-c14d6193f7f2,2021,Sáchica,"-73,542539","5,584305",Ricaurte,No,Colfondos,Medimás,Contributivo
Cedula de Ciudadanía,1997,Femenino,2,Si,No,Ninguno,Universitaria,"Talleres, Cursos, Clases particulares",Bailarín,SI,2014,Danza,2f0db0eb-ed46-489d-ae03-01a15d5587fa,2021,Cómbita,"-73,323957","5,634545",Centro,No,Colpensiones,Sanitas,Contributivo
Cedula de Ciudadanía,1997,Femenino,1,No,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Formador,SI,2010,Danza,42c4f489-ee1a-4759-81cb-ba8accae2b88,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Protección,Medimás,Contributivo
Cedula de Ciudadanía,1990,Femenino,1,Si,No,Mestizos,Secundaria,Autodidacta,Artista Creador,SI,2001,Gestor Cultural,5ba47798-51d6-4ec0-94b2-ea04d454e87d,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1970,Femenino,2,No,No,Mestizos,Primaria,Autodidacta,Artista Creador,SI,2001,Gestor Cultural,e8e44516-efd5-454e-ad7a-e71235324353,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1997,Femenino,1,Si,No,Mestizos,Secundaria,Autodidacta,Gestor Cultural,SI,2015,Gestor Cultural,8fa68e97-a2ad-486c-ae32-a8a72211eaa6,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1979,Femenino,1,Si,No,Mestizos,Secundaria,Autodidacta,Gestor Cultural,SI,2000,Gestor Cultural,c08a4d22-d102-424a-a3be-e6c12b65013b,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1963,Femenino,1,Si,No,Mestizos,Primaria,Autodidacta,Gestor Cultural,SI,1985,Gestor Cultural,4dfa78eb-792a-41e1-bbe0-d69115f5906b,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1995,Femenino,1,Si,No,Mestizos,Secundaria,Autodidacta,Gestor Cultural,SI,2013,Gestor Cultural,8600da60-8d05-41eb-b8da-2201e1b830a7,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1979,Masculino,1,Si,No,Ninguno,Secundaria,Autodidacta,Artesanias,SI,1996,Otro,47053c6b-cdc2-41a2-9e37-5548284e8296,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1956,Masculino,2,Si,No,Mestizos,Universitaria,"Autodidacta, Talleres, Cursos, Universidad",Artista Creador,SI,1966,Artes plásticas,8b269689-0d62-450e-923e-fcc307de8aeb,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,No,BEPS,Nueva EPS,Contributivo
Cedula de Ciudadanía,1971,Femenino,2,No,No,Mestizos,Primaria,Autodidacta,Gestor Cultural,SI,1989,Gestor Cultural,0a0a0cb5-b23a-4e5d-8f10-77bae73fae82,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1966,Femenino,2,Si,No,Ninguno,Primaria,Autodidacta,Gestor Cultural,SI,1984,Gestor Cultural,11f49f0e-a9ca-4c4c-bc3b-a805dfd53fce,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1962,Masculino,2,No,No,Ninguno,Primaria,Autodidacta,Gestor Cultural,SI,1980,Gestor Cultural,94b1e1d6-68a6-4a6b-ae50-eb693da770a5,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Extranjería,1974,Masculino,3,Si,No,Ninguno,Universitaria,Universidad,Interprete,SI,1981,Música,368f518a-0e31-459e-814d-afe173006d07,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Porvenir,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1947,Masculino,2,Si,No,Ninguno,Primaria,Autodidacta,Productor,SI,1980,Otro,ab62133e-2900-4224-bd43-76b422e35600,2021,Duitama,"-73,03063","5,822964",Tundama,No,Otro,Otra / No clasificada,Subsidiado
Cedula de Ciudadanía,1981,Masculino,1,Si,No,Ninguno,Primaria,Autodidacta,Productor,SI,1999,Otro,b3953a05-f596-4209-aa1f-90933d303ce0,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Nueva EPS,Subsidiado
Cedula de Ciudadanía,1955,Femenino,2,No,No,Ninguno,Primaria,Autodidacta,Productor,SI,1980,Otro,824ddda5-6094-48f1-83ca-4298f919312d,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Otra / No clasificada,Subsidiado
Cedula de Ciudadanía,1998,Femenino,1,Si,No,Afrocolombianos,Secundaria,Autodidacta,Artista Creador,SI,2019,Artes plásticas,16870484-b173-4961-8ea7-10490650db81,2021,Nobsa,"-72,937042","5,768046",Sugamuxi,No,Colpensiones,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1951,Masculino,3,Si,No,Ninguno,Tecnológica,Autodidacta,Artista Creador,NO,2018,Artes plásticas,11d8c524-9394-42ac-a69a-bb9f58c677e0,2021,Cucaita,"-73,454338","5,544452",Centro,No,Otro,Régimen Especial - Fuerza Pública,Especial
Cedula de Ciudadanía,1964,Femenino,3,No,Sí,Ninguno,Universitaria,Autodidacta,Artista Creador,SI,1979,Literatura,afc78fb4-9dfb-4c89-a17d-9e7cd3ca0d7f,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1977,Masculino,4,No,No,Ninguno,Especialista,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Formador,SI,1997,Danza,90915ea1-51d8-4dde-9aa5-68ee0e4bac9b,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Compensar,Contributivo
Cedula de Ciudadanía,1994,Masculino,1,No,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares",Artista Creador,SI,2013,Teatro,5d09278a-5b4e-46c7-9250-69dafa7a0fda,2021,Puerto Boyacá,"-74,587782","5,976646",Puerto Boyacá,Sí,Porvenir,Nueva EPS,Contributivo
Tarjeta de identidad,2006,Femenino,2,No,No,Afrocolombianos,Secundaria,Autodidacta,POETISA,SI,2016,Teatro,3ade00f6-f369-4fa4-a87c-8d15989f82a8,2021,Puerto Boyacá,"-74,587782","5,976646",Puerto Boyacá,Sí,Sin pensión,Famisanar,Contributivo
Cedula de Ciudadanía,1997,Masculino,2,No,No,Afrocolombianos,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares",Gestor Cultural,SI,2001,Danza,569e3a9e-21ed-47c9-97b8-7c6ebde1451c,2021,Puerto Boyacá,"-74,587782","5,976646",Puerto Boyacá,Sí,Porvenir,Famisanar,Contributivo
Cedula de Ciudadanía,1995,Masculino,1,No,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,2014,Artes plásticas,3f69bd0e-ec4d-4c0a-9421-c83642255a6a,2021,Paipa,"-73,11782","5,779894",Tundama,Sí,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1960,Femenino,2,No,No,Ninguno,Primaria,Autodidacta,Artista Creador,SI,1981,Artes plásticas,926e4dc9-94bb-4902-a06c-a3d0733db744,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1989,Masculino,2,No,No,Ninguno,Tecnológica,Autodidacta,Artista Creador,SI,2013,Artes plásticas,5d314c0f-ccb1-43b4-b058-2f1d999438b3,2021,Nobsa,"-72,937042","5,768046",Sugamuxi,No,Porvenir,Famisanar,Contributivo
Cedula de Ciudadanía,1969,Masculino,2,Si,No,Mestizos,Universitaria,Autodidacta,Gestor Cultural,SI,1997,Gestor Cultural,76aacbd6-0714-468b-8aae-d4f125782058,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,1989,Femenino,3,No,No,Ninguno,Magister,"Talleres, Universidad",Artista Creador,NO,2013,Literatura,eae085d5-b741-4df6-9187-b2572fac3511,2021,Tunja,"-73,355539","5,53988",Centro,No,Colpensiones,Sanitas,Contributivo
Cedula de Ciudadanía,1976,Femenino,3,No,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Universidad",Gestor Cultural,NO,2015,Gestor Cultural,a444ded7-a441-483f-b990-64fec7212e72,2021,Ramiriquí,"-73,334839","5,400303",Márquez,Sí,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1998,Masculino,3,No,No,Ninguno,Técnica,Universidad,Interprete,SI,2015,Música,2c3e3683-7fd2-45e4-b504-b395f3388824,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,1991,Femenino,2,No,No,Ninguno,Universitaria,Universidad,Artista Formador,NO,2013,Danza,9d3fc36d-b382-40c9-99b1-0cd2291984a0,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Colfondos,Nueva EPS,Contributivo
Cedula de Ciudadanía,1959,Femenino,2,No,No,Mestizos,Secundaria,Autodidacta,Artista Creador,SI,1980,Literatura,a13f1034-6b84-49e0-8bd0-5b0863be5553,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1946,Masculino,2,Si,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,1966,Literatura,a8e51ece-5e02-448e-8fef-82d561d2f257,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1953,Masculino,4,Si,No,Ninguno,Especialista,Autodidacta,Artista Creador,NO,2001,Literatura,4bc7faf9-b058-4372-8a8f-1fe3f36de5cf,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Nueva EPS,Contributivo
Cedula de Ciudadanía,1991,Masculino,3,No,No,Ninguno,Magister,"Cursos, Universidad",Artista Formador,SI,2009,Música,5b601b10-c39e-4d26-8a32-fd50f43c235e,2021,Tunja,"-73,355539","5,53988",Centro,No,Fomag,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1954,Masculino,1,Si,No,Ninguno,Universitaria,Autodidacta,Actor,SI,1990,Teatro,e7cb4b9f-9d90-4360-ab90-5dc4390c7f31,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1986,Masculino,2,Si,No,Ninguno,Secundaria,Autodidacta,Artista Creador,NO,2015,Literatura,b5fd19b4-b5f1-48fb-950c-713a2f62bc5e,2021,Duitama,"-73,03063","5,822964",Tundama,No,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1989,Masculino,2,Si,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2016,Cinematografía,d8415617-7bdb-4d05-815e-ffa7f4daa37c,2021,Garagoa,"-73,364413","5,083234",Neira,Sí,Porvenir,Capital Salud,Contributivo
Cedula de Ciudadanía,1984,Femenino,3,No,No,Ninguno,Magister,Talleres,Artista Creador,NO,2007,Literatura,559fb42d-114f-4e19-9189-97473b8ff177,2021,Paipa,"-73,11782","5,779894",Tundama,No,Fomag,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1951,Femenino,3,No,No,Ninguno,Universitaria,"Cursos, Universidad",Gestor Cultural,SI,1974,Gestor Cultural,aa8b7612-df00-410b-b18b-c255c398a608,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,No,Sin pensión,Famisanar,Contributivo
Cedula de Ciudadanía,1976,Femenino,2,No,No,Ninguno,Secundaria,Autodidacta,Productor,SI,2015,Otro,67e2ff6c-0493-41eb-8b7b-0ec81f3c5461,2021,Duitama,"-73,03063","5,822964",Tundama,No,Otro,Medimás,Contributivo
Cedula de Ciudadanía,1997,Femenino,2,No,No,Ninguno,Secundaria,"Talleres, Cursos, Universidad",Actor,SI,2007,Teatro,a9ce9704-6919-455a-b972-78effe8e2d4d,2021,Tibasosa,"-72,999449","5,74723",Sugamuxi,Sí,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1988,Masculino,2,No,No,Ninguno,Especialista,"Talleres, Universidad",Artista Creador,SI,2010,Artes plásticas,8dc51a86-cf99-4c63-b708-8c20afb1dc4d,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1970,Femenino,1,Si,No,Mestizos,Secundaria,Autodidacta,Artista Creador,SI,2006,Otro,0b2bc9b7-b400-432d-89e7-014656e99f81,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Famisanar,Contributivo
Cedula de Ciudadanía,1953,Masculino,3,Si,No,Ninguno,Secundaria,Autodidacta,Artista Creador,SI,1968,Artes plásticas,5861b85e-ec61-4ef3-86b9-dbdbf239b955,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1952,Masculino,3,No,No,Ninguno,Especialista,"Talleres, Cursos, Universidad",Artista Creador,SI,1968,Teatro,8ebd2ac0-4347-438b-9951-b9da1876c7c6,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Sin pensión,Medimás,Contributivo
Cedula de Ciudadanía,1967,Masculino,2,Si,No,Ninguno,Secundaria,Autodidacta,Interprete,SI,1989,Música,a312d44a-f211-465e-a41f-9f2df1931574,2021,Garagoa,"-73,364413","5,083234",Neira,No,Protección,Famisanar,Contributivo
Cedula de Ciudadanía,1994,Masculino,3,No,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Universidad",Gestor Cultural,NO,2017,Literatura,f874c85a-8b64-416c-9245-ad59c3d29546,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Famisanar,Contributivo
Cedula de Ciudadanía,1999,Femenino,2,Si,No,Ninguno,Secundaria,"Autodidacta, Talleres, Cursos, Clases particulares",Artista Creador,SI,2017,Cinematografía,a40892ef-de13-46b5-8b34-e4b2472d7db8,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1981,Masculino,3,Si,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Formador,SI,2006,Danza,7491c877-18a6-4d51-a02d-edc6d696e79e,2021,Boyacá,"-73,361945","5,454578",Márquez,Sí,Colfondos,Sanitas,Contributivo
Cedula de Ciudadanía,1965,Masculino,3,Si,No,Ninguno,Técnica,Talleres,Artista Creador,SI,2009,Cinematografía,3199de6c-4657-49cb-877b-6bca84467255,2021,Boyacá,"-73,361945","5,454578",Márquez,Sí,Sin pensión,Famisanar,Contributivo
Cedula de Ciudadanía,1958,Masculino,1,No,No,Ninguno,Universitaria,Universidad,Artista Formador,SI,1992,Música,92d8ba64-5245-485d-ae2b-431453146abc,2021,Ráquira,"-73,632543","5,539136",Ricaurte,No,Sin pensión,Famisanar,Contributivo
