Tipo de Identificación,Fecha de Nacimiento,Tipo de sexo,Estrato Social,Cabeza de Familia,Posee alguna discapacidad,Población a la que pertenece,Grado de Escolaridad,Tipo de Formación artística,Sub area,Es su principal actividad,Año de inicio de actividad,Area en la que se desempeña,id_artista,Año registro,Municipio,Longitud,Latitud,Provincia,Hace parte de alguna organización,Empresa de pensión,Eps,regimen
Cedula de Ciudadanía,1992,Masculino,2,No,No,Ninguno,Tecnológica,Autodidacta,Artista Creador,SI,2011,Cinematografía,a6f49f40-3bf7-4bc6-b051-0d58bfb8ff71,2021,Duitama,"-73,03063","5,822964",Tundama,No,Otro,Nueva EPS,Contributivo
Cedula de Ciudadanía,1986,Femenino,1,Si,No,Ninguno,Secundaria,"Autodidacta, Talleres, Cursos",Artesano,NO,2006,Emprendimiento Cultural,9d44915b-6b13-45c1-b4f9-1a457fa0c784,2021,San Eduardo,"-73,077747","5,22401",Lengupá,No,Sin pensión,Coosalud,Contributivo
Cedula de Ciudadanía,1989,Femenino,2,No,No,Ninguno,Universitaria,Cursos,Artista Creador,NO,2019,Opción 10,8d671e99-763e-4d37-9c98-637ed91a3bee,2021,Paipa,"-73,11782","5,779894",Tundama,No,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1965,Masculino,3,Si,No,Mestizos,Magister,"Autodidacta, Talleres, Cursos, Clases particulares",Artista Creador,NO,1980,Música,7628aadf-07a8-42e4-b528-848f3e7a94ee,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Colpensiones,Compensar,Contributivo
Cedula de Ciudadanía,1973,Masculino,2,Si,Sí,Afrocolombianos,Tecnológica,"Autodidacta, Talleres, Cursos, Clases particulares",Gestor Cultural,SI,1995,Gestor Cultural,d6ec9cf0-ddc9-46ce-a933-310b2de98cd1,2021,Monguí,"-72,849292","5,723486",Sugamuxi,No,Colpensiones,Medimás,Contributivo
Cedula de Ciudadanía,2000,Masculino,1,Si,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Creador,SI,2018,Artes plásticas,d2709f94-16a0-4ac3-b995-2517fcd16779,2021,Chiquinquirá,"-73,818745","5,61379",Occidente,No,Porvenir,Medimás,Contributivo
Cedula de Ciudadanía,1980,Masculino,2,No,No,Ninguno,Especialista,Universidad,Artista Creador,SI,2005,Artes plásticas,9795ebb4-6bfe-4741-b153-3db9909f348d,2021,Boavita,"-72,584905","6,330703",Norte,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1981,Masculino,1,Si,No,Ninguno,Especialista,"Talleres, Cursos",Interprete,SI,1998,Música,d7f40258-4517-4ebe-a4c9-5639171a0ee3,2021,Nobsa,"-72,937042","5,768046",Sugamuxi,Sí,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1965,Masculino,3,Si,No,Ninguno,Tecnológica,Cursos,Interprete,NO,1995,Música,731f833a-d26c-4c65-920d-391c4fccdbe2,2021,Duitama,"-73,03063","5,822964",Tundama,No,Colpensiones,Famisanar,Contributivo
Cedula de Ciudadanía,1981,Masculino,2,No,No,Ninguno,Técnica,Autodidacta,Narración oral,SI,2010,Literatura,64e8f686-385c-491e-8aa6-2e8ca734e253,2021,Santa Rosa De Viterbo,"-72,982461","5,874547",Tundama,No,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1959,Femenino,3,No,No,Ninguno,Especialista,"Autodidacta, Cursos, Clases particulares",Productor,SI,2015,Cinematografía,38c90b50-fa18-4814-a3ae-1ecc95de262b,2021,Villa De Leyva,"-73,524948","5,632455",Ricaurte,Sí,Colpensiones,Sanitas,Contributivo
Cedula de Ciudadanía,1990,Masculino,2,No,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2017,Artes plásticas,1f88bb01-4da9-4492-a1a4-9c1c72036e21,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1961,Femenino,3,Si,No,Ninguno,Universitaria,Cursos,Artista Creador,SI,2009,Artes plásticas,93b29082-cb83-4ad8-8d52-59b90e7a68f0,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Famisanar,Contributivo
Cedula de Ciudadanía,1996,Masculino,1,Si,No,Ninguno,Tecnológica,"Autodidacta, Talleres, Cursos, Clases particulares",Emprendedor,NO,2019,Emprendimiento Cultural,afb75f66-6c22-47d2-be9d-823d2a60a41c,2021,Buenavista,"-73,94217","5,512594",Occidente,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1967,Masculino,2,Si,No,Ninguno,Primaria,"Talleres, Cursos, Clases particulares",Artista Creador,SI,1995,Música,2a5324e5-4602-47cc-99ce-909de2d74b11,2021,Gámeza,"-72,80553","5,802333",Sugamuxi,Sí,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1962,Masculino,2,Si,No,Mestizos,Secundaria,Talleres,Gestor Cultural,SI,1985,Gestor Cultural,0b877499-c979-47c6-8c3c-236f3c902e3e,2021,Santana,"-73,481639","6,056866",Ricaurte,Sí,Sin pensión,Medimás,Contributivo
Cedula de Ciudadanía,2002,Masculino,3,No,No,Ninguno,Secundaria,"Autodidacta, Talleres, Clases particulares",Interprete,NO,2018,Música,0a827170-fbff-41d1-b47b-f3579d55f607,2021,Tunja,"-73,355539","5,53988",Centro,No,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,1998,Femenino,2,No,No,Ninguno,Secundaria,"Autodidacta, Talleres, Clases particulares",Artista Creador,SI,2018,Opción 10,2f12d84e-0374-41e8-82cd-2267a97554bb,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Colpensiones,Nueva EPS,Contributivo
Cedula de Ciudadanía,1964,Masculino,3,Si,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,1990,Artes plásticas,724474fb-0f88-40cc-a90f-b49fc4023d03,2021,Duitama,"-73,03063","5,822964",Tundama,No,Otro,Compensar,Contributivo
Cedula de Ciudadanía,1993,Masculino,3,No,No,Ninguno,Tecnológica,"Cursos, Universidad",Artista Creador,SI,2015,Cinematografía,89cd9380-2633-4590-a340-2f8bbade8c80,2021,Tunja,"-73,355539","5,53988",Centro,No,Positiva,Nueva EPS,Contributivo
Cedula de Ciudadanía,1993,Masculino,3,No,No,Ninguno,Universitaria,Universidad,Interprete,SI,2008,Música,b50d5089-5236-4a4d-a621-0ebb2c3f11f9,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1990,Masculino,2,Si,No,Ninguno,Tecnológica,"Autodidacta, Talleres, Cursos, Clases particulares",Artista Creador,SI,2006,Música,c6d2a4ba-80df-49c2-8545-2224ac50360b,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1977,Masculino,2,No,No,Ninguno,Especialista,"Cursos, Clases particulares, Universidad",Emprendedor,NO,2001,Artes plásticas,fbf73005-7f83-4140-8b52-d4e597b6c91e,2021,Villa De Leyva,"-73,524948","5,632455",Ricaurte,No,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1974,Femenino,3,No,No,Ninguno,Universitaria,"Talleres, Cursos, Clases particulares, Universidad",Gestor Cultural,NO,2015,Gestor Cultural,76343ec7-d3bf-49f7-8066-e1b46980e78f,2021,Chiquinquirá,"-73,818745","5,61379",Occidente,Sí,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,1974,Masculino,3,No,No,Ninguno,Especialista,"Cursos, Clases particulares, Universidad",Gestor Cultural,NO,2015,Gestor Cultural,10182644-a49d-4b6b-8e92-d972fc91e8ab,2021,Chiquinquirá,"-73,818745","5,61379",Occidente,No,Colfondos,Sanitas,Contributivo
